% itn    run  time               r                   g
  1      1    0.35618E-02    0.5020115786E+01    0.5368071862E-01
  1      1    0.35618E-02    0.5059644256E+01    0.8521550940E-01
  1      1    0.35618E-02    0.5099172727E+01    0.6341426526E-01
  1      1    0.35618E-02    0.5138701198E+01    0.2621857492E-01
  1      1    0.35618E-02    0.5178229669E+01    0.5203533261E-01
  1      1    0.35618E-02    0.5217758139E+01    0.1032792533E-01
  1      1    0.35618E-02    0.5257286610E+01    0.4612490426E-01
  1      1    0.35618E-02    0.5296815081E+01    0.4577939936E-01
  1      1    0.35618E-02    0.5336343552E+01    0.4039025074E-01
  1      1    0.35618E-02    0.5375872022E+01    0.5011520963E-01
  1      1    0.35618E-02    0.5415400493E+01    0.5472287176E-01
  1      1    0.35618E-02    0.5454928964E+01    0.4938626113E-01
  1      1    0.35618E-02    0.5494457435E+01    0.1961187265E-01
  1      1    0.35618E-02    0.5533985905E+01    0.6328167869E-01
  1      1    0.35618E-02    0.5573514376E+01    0.3383222515E-01
  1      1    0.35618E-02    0.5613042847E+01    0.3839214646E-01
  1      1    0.35618E-02    0.5652571318E+01    0.2382670493E-01
  1      1    0.35618E-02    0.5692099788E+01    0.3785706428E-01
  1      1    0.35618E-02    0.5731628259E+01    0.5169323180E-01
  1      1    0.35618E-02    0.5771156730E+01    0.4200377880E-01
  1      1    0.35618E-02    0.5810685201E+01    0.1854091715E-01
  1      1    0.35618E-02    0.5850213671E+01    0.3222662802E-01
  1      1    0.35618E-02    0.5889742142E+01    0.5030082152E-01
  1      1    0.35618E-02    0.5929270613E+01    0.3633771722E-01
  1      1    0.35618E-02    0.5968799084E+01    0.4512033824E-01
  1      1    0.35618E-02    0.6008327554E+01    0.5826926849E-01
  1      1    0.35618E-02    0.6047856025E+01    0.4452859610E-01
  1      1    0.35618E-02    0.6087384496E+01    0.5751005978E-01
  1      1    0.35618E-02    0.6126912967E+01    0.6153304380E-01
  1      1    0.35618E-02    0.6166441437E+01    0.6550428526E-01
  1      1    0.35618E-02    0.6205969908E+01    0.3905143652E-01
  1      1    0.35618E-02    0.6245498379E+01    0.3018049291E-01
  1      1    0.35618E-02    0.6285026850E+01    0.8568594202E-01
  1      1    0.35618E-02    0.6324555320E+01    0.3405949043E-01
  1      1    0.35618E-02    0.6364083791E+01    0.5923274310E-01
  1      1    0.35618E-02    0.6403612262E+01    0.4625183898E-01
  1      1    0.35618E-02    0.6443140733E+01    0.3343069984E-01
  1      1    0.35618E-02    0.6482669203E+01    0.2907295189E-01
  1      1    0.35618E-02    0.6522197674E+01    0.4540834040E-01
  1      1    0.35618E-02    0.6561726145E+01    0.4923705792E-01
  1      1    0.35618E-02    0.6601254616E+01    0.3670600489E-01
  1      1    0.35618E-02    0.6640783086E+01    0.4054096063E-01
  1      1    0.35618E-02    0.6680311557E+01    0.3224028916E-01
