% run    par  time              vx                  vy
 87      1    0.30988E+00    0.1012502054E+04    0.2181651756E+04


% run    par  time              vx                  vy
 88      1    0.31344E+00   -0.1497515552E+03   -0.1499682955E+04


% run    par  time              vx                  vy
 89      1    0.31700E+00    0.1852274555E+04   -0.6411633456E+03


% run    par  time              vx                  vy
 90      1    0.32056E+00    0.2316572690E+04   -0.6308981412E+03


% run    par  time              vx                  vy
 91      1    0.32413E+00   -0.2660774192E+04    0.2033597168E+04


% run    par  time              vx                  vy
 92      1    0.32769E+00    0.2502379083E+03    0.2437085630E+03


% run    par  time              vx                  vy
 93      1    0.33125E+00   -0.3344216552E+04   -0.1351758202E+03


% run    par  time              vx                  vy
 94      1    0.33481E+00    0.3015591315E+04   -0.4438215959E+04


% run    par  time              vx                  vy
 95      1    0.33837E+00    0.2288729847E+04   -0.2834491862E+04


% run    par  time              vx                  vy
 96      1    0.34194E+00    0.3215394375E+04   -0.4508644026E+04


% run    par  time              vx                  vy
 97      1    0.34550E+00    0.4428874325E+04    0.3439727769E+04


% run    par  time              vx                  vy
 98      1    0.34906E+00    0.4126309901E+04    0.2492099931E+04


% run    par  time              vx                  vy
 99      1    0.35262E+00   -0.1600046765E+04    0.3465726720E+04


% run    par  time              vx                  vy
100      1    0.35618E+00    0.2952315092E+04   -0.5479205194E+03


