% itn    run  time               r                   g
  1      1    0.35618E-02    0.2174065891E+01    0.6229918262E-01
  1      1    0.35618E-02    0.2213594362E+01    0.3670600489E-01
  1      1    0.35618E-02    0.2253122833E+01    0.3605634109E-01
  1      1    0.35618E-02    0.2292651304E+01    0.4723903238E-01
  1      1    0.35618E-02    0.2332179774E+01    0.4643152756E-01
  1      1    0.35618E-02    0.2371708245E+01    0.5706395719E-01
  1      1    0.35618E-02    0.2411236716E+01    0.5612075128E-01
  1      1    0.35618E-02    0.2450765187E+01    0.2208328750E-01
  1      1    0.35618E-02    0.2490293657E+01    0.4345990979E-01
  1      1    0.35618E-02    0.2529822128E+01    0.3208162632E-01
  1      1    0.35618E-02    0.2569350599E+01    0.1052807892E-01
  1      1    0.35618E-02    0.2608879070E+01    0.4146937957E-01
  1      1    0.35618E-02    0.2648407540E+01    0.5105722485E-01
  1      1    0.35618E-02    0.2687936011E+01    0.1106618073E+00
  1      1    0.35618E-02    0.2727464482E+01    0.7930640473E-01
  1      1    0.35618E-02    0.2766992953E+01    0.3908265269E-01
  1      1    0.35618E-02    0.2806521423E+01    0.5779243324E-01
  1      1    0.35618E-02    0.2846049894E+01    0.2849207373E-01
  1      1    0.35618E-02    0.2885578365E+01    0.6556451909E-01
  1      1    0.35618E-02    0.2925106836E+01    0.9238926402E-02
  1      1    0.35618E-02    0.2964635306E+01    0.4557456983E-01
  1      1    0.35618E-02    0.3004163777E+01    0.3597674652E-01
  1      1    0.35618E-02    0.3043692248E+01    0.4438307781E-01
  1      1    0.35618E-02    0.3083220719E+01    0.2628623576E-01
  1      1    0.35618E-02    0.3122749189E+01    0.0000000000E+00
  1      1    0.35618E-02    0.3162277660E+01    0.3416659575E-01
  1      1    0.35618E-02    0.3201806131E+01    0.4217770749E-01
  1      1    0.35618E-02    0.3241334602E+01    0.6665630336E-01
  1      1    0.35618E-02    0.3280863072E+01    0.8231043522E-01
  1      1    0.35618E-02    0.3320391543E+01    0.7319221335E-01
  1      1    0.35618E-02    0.3359920014E+01    0.3214490369E-01
  1      1    0.35618E-02    0.3399448485E+01    0.6353787982E-01
  1      1    0.35618E-02    0.3438976955E+01    0.2355125169E-01
  1      1    0.35618E-02    0.3478505426E+01    0.3104279271E-01
  1      1    0.35618E-02    0.3518033897E+01    0.1534601335E-01
  1      1    0.35618E-02    0.3557562368E+01    0.5311092328E-01
  1      1    0.35618E-02    0.3597090838E+01    0.6753093718E-01
  1      1    0.35618E-02    0.3636619309E+01    0.9647862488E-01
  1      1    0.35618E-02    0.3676147780E+01    0.2936480391E-01
  1      1    0.35618E-02    0.3715676251E+01    0.4357611276E-01
  1      1    0.35618E-02    0.3755204721E+01    0.7185831646E-01
  1      1    0.35618E-02    0.3794733192E+01    0.7110587335E-01
  1      1    0.35618E-02    0.3834261663E+01    0.5629521994E-01
  1      1    0.35618E-02    0.3873790134E+01    0.6268256220E-01
  1      1    0.35618E-02    0.3913318604E+01    0.4825814857E-01
  1      1    0.35618E-02    0.3952847075E+01    0.4777314205E-01
  1      1    0.35618E-02    0.3992375546E+01    0.2702730709E-01
  1      1    0.35618E-02    0.4031904017E+01    0.2676102820E-01
  1      1    0.35618E-02    0.4071432487E+01    0.3312493125E-01
  1      1    0.35618E-02    0.4110960958E+01    0.3280488360E-01
  1      1    0.35618E-02    0.4150489429E+01    0.7148011479E-01
  1      1    0.35618E-02    0.4190017900E+01    0.3861958809E-01
  1      1    0.35618E-02    0.4229546370E+01    0.6376160474E-01
  1      1    0.35618E-02    0.4269074841E+01    0.4421793148E-01
  1      1    0.35618E-02    0.4308603312E+01    0.3755176537E-01
  1      1    0.35618E-02    0.4348131783E+01    0.1240294229E-01
  1      1    0.35618E-02    0.4387660253E+01    0.2458139694E-01
  1      1    0.35618E-02    0.4427188724E+01    0.7308280795E-01
  1      1    0.35618E-02    0.4466717195E+01    0.4828878866E-01
  1      1    0.35618E-02    0.4506245666E+01    0.2991458549E-01
  1      1    0.35618E-02    0.4545774136E+01    0.6523731001E-01
  1      1    0.35618E-02    0.4585302607E+01    0.6467248481E-01
  1      1    0.35618E-02    0.4624831078E+01    0.4663080450E-01
  1      1    0.35618E-02    0.4664359549E+01    0.4623394659E-01
  1      1    0.35618E-02    0.4703888020E+01    0.5157426004E-01
  1      1    0.35618E-02    0.4743416490E+01    0.5114267627E-01
  1      1    0.35618E-02    0.4782944961E+01    0.7325970271E-01
  1      1    0.35618E-02    0.4822473432E+01    0.3353388101E-01
  1      1    0.35618E-02    0.4862001903E+01    0.5543355841E-01
  1      1    0.35618E-02    0.4901530373E+01    0.4948623332E-01
  1      1    0.35618E-02    0.4941058844E+01    0.3818014164E-01
  1      1    0.35618E-02    0.4980587315E+01    0.3787591740E-01
  1      1    0.35618E-02    0.5020115786E+01    0.4294457489E-01
  1      1    0.35618E-02    0.5059644256E+01    0.6923760139E-01
  1      1    0.35618E-02    0.5099172727E+01    0.2642261053E-01
  1      1    0.35618E-02    0.5138701198E+01    0.5768086483E-01
  1      1    0.35618E-02    0.5178229669E+01    0.7284946565E-01
  1      1    0.35618E-02    0.5217758139E+01    0.4131170132E-01
  1      1    0.35618E-02    0.5257286610E+01    0.4612490426E-01
  1      1    0.35618E-02    0.5296815081E+01    0.4577939936E-01
  1      1    0.35618E-02    0.5336343552E+01    0.1514634403E-01
  1      1    0.35618E-02    0.5375872022E+01    0.3508064674E-01
  1      1    0.35618E-02    0.5415400493E+01    0.1094457435E+00
  1      1    0.35618E-02    0.5454928964E+01    0.4444763502E-01
  1      1    0.35618E-02    0.5494457435E+01    0.2451484081E-01
  1      1    0.35618E-02    0.5533985905E+01    0.5841385725E-01
  1      1    0.35618E-02    0.5573514376E+01    0.4833175022E-01
  1      1    0.35618E-02    0.5613042847E+01    0.6238723800E-01
  1      1    0.35618E-02    0.5652571318E+01    0.6194943282E-01
  1      1    0.35618E-02    0.5692099788E+01    0.3312493125E-01
  1      1    0.35618E-02    0.5731628259E+01    0.4229446239E-01
  1      1    0.35618E-02    0.5771156730E+01    0.6533921146E-01
  1      1    0.35618E-02    0.5810685201E+01    0.4635229287E-01
  1      1    0.35618E-02    0.5850213671E+01    0.6445325605E-01
  1      1    0.35618E-02    0.5889742142E+01    0.6401922739E-01
  1      1    0.35618E-02    0.5929270613E+01    0.4996436118E-01
  1      1    0.35618E-02    0.5968799084E+01    0.6316847354E-01
  1      1    0.35618E-02    0.6008327554E+01    0.5378701707E-01
  1      1    0.35618E-02    0.6047856025E+01    0.7124575376E-01
  1      1    0.35618E-02    0.6087384496E+01    0.6193391054E-01
  1      1    0.35618E-02    0.6126912967E+01    0.3955695673E-01
  1      1    0.35618E-02    0.6166441437E+01    0.3056866645E-01
  1      1    0.35618E-02    0.6205969908E+01    0.4772953352E-01
