% itn    run  time               r                   g
  1      2    0.71237E-02    0.1581138830E+01    0.9455281007E+00
  1      2    0.71237E-02    0.1620667301E+01    0.8718809064E+00
  1      2    0.71237E-02    0.1660195772E+01    0.8672346457E+00
  1      2    0.71237E-02    0.1699724242E+01    0.7509616766E+00
  1      2    0.71237E-02    0.1739252713E+01    0.6088133915E+00
  1      2    0.71237E-02    0.1778781184E+01    0.7324703898E+00
  1      2    0.71237E-02    0.1818309655E+01    0.7909942373E+00
  1      2    0.71237E-02    0.1857838125E+01    0.6425524297E+00
  1      2    0.71237E-02    0.1897366596E+01    0.6719130790E+00
  1      2    0.71237E-02    0.1936895067E+01    0.6300566819E+00
  1      2    0.71237E-02    0.1976423538E+01    0.6310466700E+00
  1      2    0.71237E-02    0.2015952008E+01    0.6857844677E+00
  1      2    0.71237E-02    0.2055480479E+01    0.6460969599E+00
  1      2    0.71237E-02    0.2095008950E+01    0.4527073937E+00
  1      2    0.71237E-02    0.2134537421E+01    0.6981001865E+00
  1      2    0.71237E-02    0.2174065891E+01    0.8098893740E+00
  1      2    0.71237E-02    0.2213594362E+01    0.7463554328E+00
  1      2    0.71237E-02    0.2253122833E+01    0.6970892611E+00
  1      2    0.71237E-02    0.2292651304E+01    0.7558245182E+00
  1      2    0.71237E-02    0.2332179774E+01    0.7661202047E+00
  1      2    0.71237E-02    0.2371708245E+01    0.5934651547E+00
  1      2    0.71237E-02    0.2411236716E+01    0.7295697667E+00
  1      2    0.71237E-02    0.2450765187E+01    0.7839567061E+00
  1      2    0.71237E-02    0.2490293657E+01    0.8583332184E+00
  1      2    0.71237E-02    0.2529822128E+01    0.7057957791E+00
  1      2    0.71237E-02    0.2569350599E+01    0.4737635515E+00
  1      2    0.71237E-02    0.2608879070E+01    0.5805713140E+00
  1      2    0.71237E-02    0.2648407540E+01    0.5514180284E+00
  1      2    0.71237E-02    0.2687936011E+01    0.5734293653E+00
  1      2    0.71237E-02    0.2727464482E+01    0.6641911396E+00
  1      2    0.71237E-02    0.2766992953E+01    0.5862397904E+00
  1      2    0.71237E-02    0.2806521423E+01    0.6935091988E+00
  1      2    0.71237E-02    0.2846049894E+01    0.5793388325E+00
  1      2    0.71237E-02    0.2885578365E+01    0.7212097099E+00
  1      2    0.71237E-02    0.2925106836E+01    0.7206362593E+00
  1      2    0.71237E-02    0.2964635306E+01    0.6836185475E+00
  1      2    0.71237E-02    0.3004163777E+01    0.6925523705E+00
  1      2    0.71237E-02    0.3043692248E+01    0.6302397049E+00
  1      2    0.71237E-02    0.3083220719E+01    0.6659179726E+00
  1      2    0.71237E-02    0.3122749189E+01    0.7093376997E+00
  1      2    0.71237E-02    0.3162277660E+01    0.5552071809E+00
  1      2    0.71237E-02    0.3201806131E+01    0.6917144028E+00
  1      2    0.71237E-02    0.3241334602E+01    0.6415669199E+00
  1      2    0.71237E-02    0.3280863072E+01    0.6831766123E+00
  1      2    0.71237E-02    0.3320391543E+01    0.6831273246E+00
  1      2    0.71237E-02    0.3359920014E+01    0.7152241072E+00
  1      2    0.71237E-02    0.3399448485E+01    0.7148011479E+00
  1      2    0.71237E-02    0.3438976955E+01    0.5887812924E+00
  1      2    0.71237E-02    0.3478505426E+01    0.6130951560E+00
  1      2    0.71237E-02    0.3518033897E+01    0.6598785738E+00
  1      2    0.71237E-02    0.3557562368E+01    0.5462837823E+00
  1      2    0.71237E-02    0.3597090838E+01    0.6077784346E+00
  1      2    0.71237E-02    0.3636619309E+01    0.7273004030E+00
  1      2    0.71237E-02    0.3676147780E+01    0.6900728920E+00
  1      2    0.71237E-02    0.3715676251E+01    0.7190058606E+00
  1      2    0.71237E-02    0.3755204721E+01    0.6036098582E+00
  1      2    0.71237E-02    0.3794733192E+01    0.7395010829E+00
  1      2    0.71237E-02    0.3834261663E+01    0.5910998094E+00
  1      2    0.71237E-02    0.3873790134E+01    0.6755787260E+00
  1      2    0.71237E-02    0.3913318604E+01    0.6687200587E+00
  1      2    0.71237E-02    0.3952847075E+01    0.6005766429E+00
  1      2    0.71237E-02    0.3992375546E+01    0.6824395039E+00
  1      2    0.71237E-02    0.4031904017E+01    0.6757159620E+00
  1      2    0.71237E-02    0.4071432487E+01    0.6426236662E+00
  1      2    0.71237E-02    0.4110960958E+01    0.7020245090E+00
  1      2    0.71237E-02    0.4150489429E+01    0.5978336874E+00
  1      2    0.71237E-02    0.4190017900E+01    0.5857304193E+00
  1      2    0.71237E-02    0.4229546370E+01    0.5547259613E+00
  1      2    0.71237E-02    0.4269074841E+01    0.6759026668E+00
  1      2    0.71237E-02    0.4308603312E+01    0.5883109909E+00
  1      2    0.71237E-02    0.4348131783E+01    0.5705353455E+00
  1      2    0.71237E-02    0.4387660253E+01    0.6391163205E+00
  1      2    0.71237E-02    0.4427188724E+01    0.5724819956E+00
  1      2    0.71237E-02    0.4466717195E+01    0.6760430412E+00
  1      2    0.71237E-02    0.4506245666E+01    0.6401721294E+00
  1      2    0.71237E-02    0.4545774136E+01    0.6345811064E+00
  1      2    0.71237E-02    0.4585302607E+01    0.6526041649E+00
  1      2    0.71237E-02    0.4624831078E+01    0.6178581596E+00
