% run    par  time               x                   y
 90      1    0.32056E+00    0.5104853792E+00    0.1072693912E+01


% run    par  time               x                   y
 91      1    0.32413E+00    0.4848891291E+00    0.1034733837E+01


% run    par  time               x                   y
 92      1    0.32769E+00    0.5689635739E+00    0.1124685897E+01


% run    par  time               x                   y
 93      1    0.33125E+00    0.4888118208E+00    0.1203361131E+01


% run    par  time               x                   y
 94      1    0.33481E+00    0.5013851380E+00    0.1188747740E+01


% run    par  time               x                   y
 95      1    0.33837E+00    0.3893119528E+00    0.1167781639E+01


% run    par  time               x                   y
 96      1    0.34194E+00    0.3709069042E+00    0.1174275533E+01


% run    par  time               x                   y
 97      1    0.34550E+00    0.4613427209E+00    0.1094174557E+01


% run    par  time               x                   y
 98      1    0.34906E+00    0.3745510177E+00    0.1137745762E+01


% run    par  time               x                   y
 99      1    0.35262E+00    0.4541706681E+00    0.1134189376E+01


% run    par  time               x                   y
100      1    0.35618E+00    0.4268744584E+00    0.1368114348E+01


